jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
284	5	0.85	20	0.880080265	5	0	24	0.880080265	83.88644779	380	20	20	20	10	1	-999	-999
284	5.5	0.85	20	0.894507811	0	0	24	0.894507811	83.89978003	380	20	20	20	10	1	-999	-999
284	6	0.85	20	0.906049847	0	500	24	0.906049847	83.89978003	380	20	20	20	10	1	-999	-999
284	6.5	0.85	20	1.128294342	0	500	24	1.128294342	83.9264445	380	20	20	20	10	1	-999	-999
284	7	0.85	20	1.14587815	0	500	24	1.14587815	83.9264445	380	20	20	20	10	1	-999	-999
284	7.5	0.85	20	1.139934157	0	500	24	1.139934157	83.95310898	380	20	20	20	10	1	-999	-999
284	8	0.85	20	1.142842152	0	500	24	1.142842152	83.95310898	380	20	20	20	10	1	-999	-999
284	8.5	0.85	20	1.142842152	0	500	24	1.142842152	83.97977346	380	20	20	20	10	1	-999	-999
284	9	0.85	20	1.134005063	0	500	24	1.134005063	83.97977346	380	20	20	20	10	1	-999	-999
284	9.5	0.85	20	1.134005063	0	500	24	1.134005063	83.97977346	380	20	20	20	10	1	-999	-999
284	10	0.85	20	1.142842152	0	500	24	1.142842152	83.97977346	380	20	20	20	10	1	-999	-999
284	10.5	0.85	20	1.128234045	0	500	24	1.128234045	83.95310898	380	20	20	20	10	1	-999	-999
284	11	0.85	20	1.128234045	0	500	24	1.128234045	83.95310898	380	20	20	20	10	1	-999	-999
284	11.5	0.85	20	1.128234045	0	500	24	1.128234045	83.93977674	380	20	20	20	10	1	-999	-999
284	12	0.85	20	1.128234045	0	500	24	1.128234045	83.93977674	380	20	20	20	10	1	-999	-999
284	12.5	0.85	20	1.128234045	0	500	24	1.128234045	83.89978003	380	20	20	20	10	1	-999	-999
284	13	0.85	20	1.128234045	0	500	24	1.128234045	83.89978003	380	20	20	20	10	1	-999	-999
284	13.5	0.85	20	1.142842152	0	500	24	1.142842152	83.84645107	380	20	20	20	10	1	-999	-999
284	14	0.85	20	1.131119554	0	500	24	1.131119554	83.84645107	380	20	20	20	10	1	-999	-999
284	14.5	0.85	20	1.205791091	0	500	24	1.205791091	83.83311883	380	20	20	20	10	1	-999	-999
284	15	0.85	20	1.224210125	0	500	24	1.224210125	83.83311883	380	20	20	20	10	1	-999	-999
284	15.5	0.85	20	2.038104381	0	500	24	1.224210125	83.84645107	380	20	20	20	10	1	-999	-999
284	16	0.85	20	1.623618335	0	500	24	1.224210125	83.84645107	380	20	20	20	10	1	-999	-999
284	16.5	0.85	20	1.260483018	0	500	24	1.260483018	83.89978003	380	20	20	20	10	1	-999	-999
284	17	0.85	20	1.242346572	0	500	24	1.242346572	83.89978003	380	20	20	20	10	1	-999	-999
284	17.5	0.85	20	1.242346572	0	500	24	1.242346572	83.89978003	380	20	20	20	10	1	-999	-999
284	18	0.85	20	1.242346572	0	500	24	1.242346572	83.89978003	380	20	20	20	10	1	-999	-999
284	18.5	0.85	20	1.239323831	0	500	24	1.239323831	83.80645435	380	20	20	20	10	1	-999	-999
284	19	0.85	20	1.242346572	0	500	24	1.242346572	83.80645435	380	20	20	20	10	1	-999	-999
284	19.5	0.85	20	1.238785375	0	500	24	1.238785375	83.79312211	380	20	20	20	10	1	-999	-999
284	20	0.85	20	1.28377758	0	0	24	1.28377758	83.79312211	380	20	20	20	10	1	-999	-999
284	20.5	0.85	20	0.930329827	0	0	24	0.930329827	83.87311555	380	20	20	20	10	1	-999	-999
284	21	0.85	20	0.92624841	0	0	24	0.92624841	83.87311555	380	20	20	20	10	1	-999	-999
284	21.5	0.85	20	0.966645537	0	0	24	0.966645537	83.84645107	380	20	20	20	10	1	-999	-999
284	22	0.85	20	0.764467748	0	0	24	0.764467748	83.84645107	380	20	20	20	10	1	-999	-999
284	22.5	0.85	20	0.767330923	0	0	24	0.767330923	83.87311555	380	20	20	20	10	1	-999	-999
284	23	0.85	20	0.787743975	0	0	24	0.787743975	83.87311555	380	20	20	20	10	1	-999	-999
284	23.5	0.85	20	0.810828048	0	0	24	0.810828048	83.88644779	380	20	20	20	10	1	-999	-999
284	24	0.85	20	0.831026611	0	0	24	0.831026611	83.88644779	380	20	20	20	10	1	-999	-999
285	0.5	0.85	20	0.868538229	0	0	24	0.868538229	83.85978331	380	20	20	20	10	1	-999	-999
285	1	0.85	20	0.906049847	0	0	24	0.906049847	83.85978331	380	20	20	20	10	1	-999	-999
