Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
298,291,CC,1,1,0.72,6876.89293473917,3316.77594814666,289,2290.49507224167,4586.3978624975,1026.280875905
300,291,CC,1,1,1.4,7847.70219218417,3316.77594814666,289,2290.49507224167,5557.2071199425,1026.280875905
303,291,CC,1,1,3.33,9343.01213111751,3316.77594814666,289,2290.49507224167,7052.51705887584,1026.280875905
305,291,CC,1,1,3.96,10339.4587977758,3316.77594814666,289,2290.49507224167,8048.96372553416,1026.280875905
307,291,CC,1,1,5.32,11352.5835348158,3316.77594814666,289,2290.49507224167,9062.08846257414,1026.280875905
310,291,CC,1,1,6.55,12828.4880273992,3316.77594814666,289,2290.49507224167,10537.9929551575,1026.280875905
312,291,CC,1,1,6.52,13822.6696153242,3316.77594814666,289,2290.49507224167,11532.1745430825,1026.280875905
315,291,CC,1,1,7.75,15334.8716263725,3316.77594814666,289,2290.49507224167,13044.3765541308,1026.280875905
317,291,CC,1,1,8.39,16361.6030911408,3316.77594814666,289,2290.49507224167,14071.1080188992,1026.280875905
319,291,CC,1,1,8.41,17372.6732596442,3316.77594814666,289,2290.49507224167,15082.1781874025,1026.280875905
322,291,CC,1,1,9.37,18867.4119883759,3316.77594814666,289,2290.49507224167,16576.9169161342,1026.280875905
324,291,CC,1,1,6.17,19858.0511356425,3316.77594814666,289,2290.49507224167,17567.5560634008,1026.280875905
303,295,CC,1,2,1.65,9343.01213111751,5358.59704401583,289,2290.49507224167,7052.51705887584,3068.10197177416
305,295,CC,1,2,3.39,10339.4587977758,5358.59704401583,289,2290.49507224167,8048.96372553416,3068.10197177416
307,295,CC,1,2,4.69,11352.5835348158,5358.59704401583,289,2290.49507224167,9062.08846257414,3068.10197177416
310,295,CC,1,2,5.03,12828.4880273992,5358.59704401583,289,2290.49507224167,10537.9929551575,3068.10197177416
312,295,CC,1,2,5.01,13822.6696153242,5358.59704401583,289,2290.49507224167,11532.1745430825,3068.10197177416
315,295,CC,1,2,5.43,15334.8716263725,5358.59704401583,289,2290.49507224167,13044.3765541308,3068.10197177416
317,295,CC,1,2,5.22,16361.6030911408,5358.59704401583,289,2290.49507224167,14071.1080188992,3068.10197177416
319,295,CC,1,2,5.94,17372.6732596442,5358.59704401583,289,2290.49507224167,15082.1781874025,3068.10197177416
322,295,CC,1,2,5.64,18867.4119883759,5358.59704401583,289,2290.49507224167,16576.9169161342,3068.10197177416
307,299,CC,1,3,2.63,11352.5835348158,7360.18988658917,289,2290.49507224167,9062.08846257414,5069.6948143475
310,299,CC,1,3,7.66,12828.4880273992,7360.18988658917,289,2290.49507224167,10537.9929551575,5069.6948143475
